M1_Waiting,M1_Blocked,M1_Working,M1_Failed,M13_Waiting,M13_Blocked,M13_Working,M13_Failed,M11_Waiting,M11_Blocked,M11_Working,M11_Failed,M12_Waiting,M12_Blocked,M12_Working,M12_Failed,M2_Waiting,M2_Blocked,M2_Working,M2_Failed,M4_Waiting,M4_Blocked,M4_Working,M4_Failed,M6_Waiting,M6_Blocked,M6_Working,M6_Failed,M3_Waiting,M3_Blocked,M3_Working,M3_Failed,M5_Waiting,M5_Blocked,M5_Working,M5_Failed,M7_Waiting,M7_Blocked,M7_Working,M7_Failed,M8_Waiting,M8_Blocked,M8_Working,M8_Failed,M9_Waiting,M9_Blocked,M9_Working,M9_Failed,M10_Waiting,M10_Blocked,M10_Working,M10_Failed_Sum
0,0.022496679,0.541453167,0.538678447,0,0.296201815,0.733588236,0.235548178,0.132356793,0,0.295941113,0.842641105,0.626241595,0,0.499511833,0.067480317,0.245582041,0.52771615,0.575859811,0.323850694,0.165773574,0.67633224,0.584060235,0.405799834,0.208156014,0.666166603,0.574745155,0.405799834,0,0.283099784,0.537637864,0.440800211,0,0.428265065,0.653792898,0.171554061,0.214930322,0.671740238,0.520970293,0.335884922,0.23882149,0.575270694,0.520970293,0.927876795,0.232853229,0.626046712,0.504465097,0.256296416,0.250027665,0.577685123,0.534339785,0.325593394
0,0.417108031,0.394548063,0.462075338,0,0.301529985,0.85392457,0.110477146,0.110818974,0.604680708,0.585286938,0.336179802,0.175331285,0,0.572157396,0.733567308,0.509254049,0.385319859,0.497587604,0.364945929,0.714389362,0.29102159,0.497403361,0.471631556,0.738513178,0.396404083,0.501353857,0.471631556,0,0.423536173,0.251224981,0.652452695,0,0.329644376,0.382767173,0.635134753,0.558260043,0.378579385,0.486536499,0.170459488,0.525043252,0.30743162,0.486536499,0.930288011,0.539290653,0.340022965,0.52041931,0.098905217,0.445387397,0.422566223,0.533302349,0.112894626
0,0.190897043,0.461108834,0.524708851,0,0.207426188,0.859247246,0.132743568,0.551825268,0,0.65740804,0.230950882,0.64152253,0,0.514539281,0.016111734,0.425598587,0.304641462,0.662668845,0.364689076,0.467586418,0.438475014,0.560574901,0.459721084,0.479652702,0.165746337,0.57116527,0.459721084,0,0.617949045,0.518230463,0.202850523,0,0.514970578,0.443126156,0.366511521,0.581555038,0.337775551,0.530894918,0.109111664,0.509623565,0.316945406,0.530894918,0.93260786,0.483263328,0.328492079,0.544314217,0.197180184,0.48524597,0.081381752,0.528971238,0.656055821
0,0.103746134,0.857347817,0.156093558,0,0.039390257,0.550570092,0.499052757,0.165538976,0.364482866,0.625606645,0.357014108,0.353538317,0,0.572916739,0.421797719,0.088841142,0.53982172,0.661394335,0.426470943,0.178710154,0.613170786,0.674874215,0.302094578,0.165569351,0.508895698,0.695544605,0.302094578,0,0.363719641,0.646050588,0.256943022,0,0.311505874,0.543027946,0.438412608,0.248822292,0.518378548,0.621163697,0.387975931,0.260919556,0.554578064,0.621163697,0.933684626,0.218472651,0.523486661,0.621428878,0.277241077,0.248804374,0.441516116,0.60617478,0.440803211
0,0.060644258,0.948247592,0.085127147,0,0.120705239,0.670017463,0.352503432,0.191962753,0.667849475,0.715325545,0.134305844,0.291401249,0,0.58650235,0.507701161,0.03824595,0.649946253,0.595556784,0.377527994,0.064631075,0.66098274,0.584546344,0.776092895,0.215464101,0.577728055,0.615618656,0.776092895,0,0.326369511,0.710523148,0.213748565,0,0.39038956,0.639488256,0.22909567,0.163397587,0.635859114,0.565258772,0.462284297,0.208128293,0.500911077,0.565258772,0.938940316,0.30697337,0.351060306,0.545055128,0.523569724,0.424551721,0.457120991,0.564922297,0.039466773
0,0.081019201,0.549856528,0.49536357,0,0.037429592,0.515502255,0.535620571,0.125952622,0.669232583,0.687128789,0.201946295,0.226084565,0,0.607454118,0.587016887,0.202383835,0.342661669,0.669458204,0.771543347,0.205866641,0.636413843,0.61620139,0.326285271,0.119303284,0.673136174,0.626368504,0.326285271,0,0.291214878,0.503527675,0.472683865,0,0.317946639,0.864833134,0,0.058551959,0.765957837,0.597553382,0.373567136,0.126184279,0.619459411,0.597553382,0.942231894,0.152827566,0.761742288,0.546327121,0.113893103,0.066171612,0.812714647,0.602501763,0.226204557
0,0.185854417,0.527464644,0.457368728,0,0.097512677,0.829989649,0.195158242,0.49935509,0.099415136,0.672772038,0.209289538,0.733821068,0,0.258925237,0.276143255,0.529929894,0.557854953,0.297923725,0.317525336,0.564377262,0.494347188,0.360328205,0.619263695,0.657721015,0.360607917,0.387523441,0.619263695,0,0.479511056,0.329347868,0.521608304,0,0.44524752,0.420050242,0.46806601,0.542262862,0.239770992,0.292546546,0.940767403,0.77427756,0.255582123,0.292546546,0.944163339,0.711395645,0.219961367,0.274444397,0.355040006,0.776179808,0.100856569,0.285439873,0.350925116
0,0,0.566458291,0.525428531,0,0.141981864,0.812621088,0.199880067,0.046984067,0.290475032,0.754121167,0.333053559,0.068867844,0,0.869815473,0.428993791,0.252447254,0.17241481,0.91840796,0.495698136,0.39019327,0.288724636,0.824714016,0.384412945,0.360813526,0.347990745,0.866639752,0.384412945,0,0.163818889,0.889845578,0.139103086,0,0.187448102,0.801782695,0.216730353,0.174489113,0.479308369,0.833442534,0.228809243,0.136688851,0.430928143,0.833442534,0.945108365,0.146632837,0.509849597,0.794521287,0.168441595,0.11975216,0.381480594,0.83542898,0.431891028
0,0.19618371,0.653822505,0.317385514,0,0,0.768994581,0.286490943,0.319911947,0.127426458,0.701571586,0.28046461,0.364520455,0,0.603664401,0.352036932,0.299567833,0.499125402,0.659324779,0.04576318,0.295923947,0.496627678,0.64771604,0.476080139,0.338263984,0.390955108,0.634762956,0.476080139,0,0.360701801,0.515884993,0.404967195,0,0.302534597,0.522837099,0.474592702,0.304453464,0.265115468,0.610100556,0.846379835,0.534404839,0.280325868,0.610100556,0.946048352,0.452849561,0.234713223,0.581337892,0.366597705,0.546133747,0.240440306,0.57182726,0.116622361
0,0.059953478,0.923344948,0.111900154,0,0.295767843,0.67466852,0.296145273,0.129806777,0,0.636704253,0.510667589,0.275372031,0,0.77874295,0.219114961,0.065829258,0.470550933,0.671085557,0.683466301,0.161985742,0.601120421,0.717869604,0.255478834,0.118483412,0.667617855,0.733587616,0.255478834,0,0.234261628,0.765417973,0.223737555,0,0.288447468,0.804146404,0.111310825,0.044236583,0.574490636,0.708259554,0.619415928,0.140739447,0.569529415,0.708259554,0.948364671,0.099917349,0.315005398,0.750990898,0.682904898,0.363095504,0.28320125,0.720781661,0.214242077
